source_id,name_en,name_ms,name_default,feature_type,accessibility_type,wheelchair,tactile_paving,shelter,covered,bench,kerb,stroller,geom_type,geom_wkt,raw_properties
node/243306384,Kepong Sentral,Kepong Sentral,KA07 Kepong Sentral,station,wheelchair_stop,yes,,,,,,,Point,POINT(101.6285344 3.2087148),"{""@id"":""node/243306384"",""air_conditioning"":""no"",""alt_name"":""KTM Kepong Sentral"",""internet_access"":""yes"",""name"":""KA07 Kepong Sentral"",""name:en"":""Kepong Sentral"",""name:ja"":""クロルデコン"",""name:ms"":""Kepong Sentral"",""name:zh"":""甲洞中央"",""name:zh-Hans"":""甲洞中央"",""name:zh-Hant"":""甲洞中央"",""not:brand:wikidata"":""Q215657"",""operator"":""KTM"",""public_transport"":""station"",""railway"":""station"",""ref"":""KA07"",""station"":""train"",""train"":""yes"",""wheelchair"":""yes"",""wikidata"":""Q6131785"",""wikipedia"":""en:Kepong Sentral Komuter station""}"
node/772438290,Klang New Town Police Station,Balai Polis Bandar Baru Klang,Balai Polis Bandar Baru Klang,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.4677633 3.0629725),"{""@id"":""node/772438290"",""addr:city"":""Bandar Baru Klang"",""addr:housenumber"":""32"",""addr:postcode"":""41150 Klang"",""addr:street"":""Jalan Tiara 2A/Ku 1"",""amenity"":""police"",""name"":""Balai Polis Bandar Baru Klang"",""name:en"":""Klang New Town Police Station"",""name:ms"":""Balai Polis Bandar Baru Klang"",""phone"":""+603 3341 2222"",""wheelchair"":""yes""}"
node/1456303681,Aquaria KLCC,Aquaria KLCC,Aquaria KLCC,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.7130586 3.1533436),"{""@id"":""node/1456303681"",""check_date"":""2024-05-19"",""level"":""-1"",""name"":""Aquaria KLCC"",""name:en"":""Aquaria KLCC"",""name:ms"":""Aquaria KLCC"",""name:zh"":""吉隆坡城中城水族馆"",""name:zh-Hans"":""吉隆坡城中城水族馆"",""name:zh-Hant"":""吉隆坡城中城水族館"",""payment:cash"":""yes"",""payment:credit_cards"":""yes"",""payment:debit_cards"":""yes"",""smoking"":""no"",""tourism"":""aquarium; attraction"",""website"":""https://aquariaklcc.com/"",""wheelchair"":""yes"",""wikidata"":""Q29168"",""wikimedia_commons"":""Category:Aquaria KLCC"",""wikipedia"":""en:Aquaria KLCC""}"
node/1485787800,UKM,UKM,KB07 UKM,station,wheelchair_stop,yes,,,,,,,Point,POINT(101.7877867 2.9395784),"{""@id"":""node/1485787800"",""air_conditioning"":""no"",""alt_name"":""KTM UKM"",""full_name"":""UKM Komuter Station"",""internet_access"":""yes"",""name"":""KB07 UKM"",""name:en"":""UKM"",""name:ja"":""UKM"",""name:ms"":""UKM"",""name:zh"":""马来西亚国立大学"",""name:zh-Hans"":""马来西亚国立大学"",""name:zh-Hant"":""馬來西亞國立大學"",""network"":""KTM Komuter"",""network:wikidata"":""Q4383987"",""not:brand:wikidata"":""Q215657"",""operator"":""Keretapi Tanah Melayu"",""operator:wikidata"":""Q1187590"",""public_transport"":""station"",""railway"":""station"",""ref"":""KB07"",""station"":""train"",""train"":""yes"",""website"":""https://mrt.com.my/komuter/UKM.htm"",""wheelchair"":""yes"",""wikidata"":""Q6131646"",""wikipedia"":""en:UKM Komuter station""}"
node/1533842770,,,Gasing Veterinary Hospital,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.6629282 3.0872426),"{""@id"":""node/1533842770"",""addr:city"":""Petaling Jaya"",""addr:housenumber"":""53&55"",""addr:place"":""Gasing Indah"",""addr:postcode"":""46000"",""amenity"":""veterinary"",""name"":""Gasing Veterinary Hospital"",""wheelchair"":""yes""}"
node/1534178899,,,Yasin Curry House,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.6636043 3.0874794),"{""@id"":""node/1534178899"",""addr:city"":""Kuala Lumpur"",""addr:housenumber"":""77"",""addr:place"":""Gasing Indah"",""amenity"":""restaurant"",""cuisine"":""mamak"",""name"":""Yasin Curry House"",""wheelchair"":""yes""}"
node/1543767734,PARKROYAL COLLECTION Kuala Lumpur,,PARKROYAL COLLECTION Kuala Lumpur,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.7121987 3.1443335),"{""@id"":""node/1543767734"",""air_conditioning"":""yes"",""brand"":""PARKROYAL"",""brand:wikidata"":""Q4272131"",""name"":""PARKROYAL COLLECTION Kuala Lumpur"",""name:en"":""PARKROYAL COLLECTION Kuala Lumpur"",""tourism"":""hotel"",""wheelchair"":""yes""}"
node/1583431907,,,Ecomach Tech,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.6634829 3.087438),"{""@id"":""node/1583431907"",""addr:city"":""Kuala Lumpur"",""addr:housenumber"":""71"",""addr:place"":""Gasing Indah"",""addr:street"":""Jalan 7/132"",""name"":""Ecomach Tech"",""shop"":""car_repair"",""wheelchair"":""yes""}"
node/1676562333,,,Hentian Bandar Utama,bus_stop,wheelchair_stop,yes,,,,,,,Point,POINT(101.613241 3.1514356),"{""@id"":""node/1676562333"",""addr:city"":""Petaling Jaya"",""addr:postcode"":""47800"",""addr:street"":""Central Park Avenue"",""air_conditioning"":""no"",""alt_name"":""1 Utama Bus Terminal"",""amenity"":""bus_station"",""baby_feeding"":""no"",""bus"":""yes"",""departures_board"":""timetable"",""highway"":""bus_stop"",""internet_access"":""no"",""layer"":""1"",""name"":""Hentian Bandar Utama"",""network"":""Rapid KL Bus;PJ City Bus"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ530"",""route_ref"":""506;801;802;PJ05;PJ06"",""wheelchair"":""yes""}"
node/1704469566,,,Affin Bank,accessibility_poi,wheelchair_access,yes,,,,,,,Point,POINT(101.6768092 3.2010871),"{""@id"":""node/1704469566"",""addr:city"":""Kuala Lumpur"",""addr:housenumber"":""134"",""addr:postcode"":""51200"",""addr:street"":""Jalan Ipoh"",""air_conditioning"":""yes"",""amenity"":""bank"",""atm"":""yes"",""branch"":""Jalan Ipoh"",""brand"":""Affin Bank"",""brand:wikidata"":""Q4688929"",""brand:wikipedia"":""en:Affin Bank"",""drive_through"":""no"",""internet_access"":""no"",""name"":""Affin Bank"",""opening_hours"":""Mo-Fr 09:15-16:15"",""operator"":""Affin Bank"",""wheelchair"":""yes""}"
