source_id,name_en,name_ms,name_default,feature_type,accessibility_type,wheelchair,tactile_paving,shelter,covered,bench,kerb,stroller,geom_type,geom_wkt,raw_properties
node/243306384,Kepong Sentral,Kepong Sentral,KA07 Kepong Sentral,station,wheelchair_stop,yes,,,,,,,Point,POINT(101.6285344 3.2087148),"{""@id"":""node/243306384"",""air_conditioning"":""no"",""alt_name"":""KTM Kepong Sentral"",""internet_access"":""yes"",""name"":""KA07 Kepong Sentral"",""name:en"":""Kepong Sentral"",""name:ja"":""クロルデコン"",""name:ms"":""Kepong Sentral"",""name:zh"":""甲洞中央"",""name:zh-Hans"":""甲洞中央"",""name:zh-Hant"":""甲洞中央"",""not:brand:wikidata"":""Q215657"",""operator"":""KTM"",""public_transport"":""station"",""railway"":""station"",""ref"":""KA07"",""station"":""train"",""train"":""yes"",""wheelchair"":""yes"",""wikidata"":""Q6131785"",""wikipedia"":""en:Kepong Sentral Komuter station""}"
node/1485787800,UKM,UKM,KB07 UKM,station,wheelchair_stop,yes,,,,,,,Point,POINT(101.7877867 2.9395784),"{""@id"":""node/1485787800"",""air_conditioning"":""no"",""alt_name"":""KTM UKM"",""full_name"":""UKM Komuter Station"",""internet_access"":""yes"",""name"":""KB07 UKM"",""name:en"":""UKM"",""name:ja"":""UKM"",""name:ms"":""UKM"",""name:zh"":""马来西亚国立大学"",""name:zh-Hans"":""马来西亚国立大学"",""name:zh-Hant"":""馬來西亞國立大學"",""network"":""KTM Komuter"",""network:wikidata"":""Q4383987"",""not:brand:wikidata"":""Q215657"",""operator"":""Keretapi Tanah Melayu"",""operator:wikidata"":""Q1187590"",""public_transport"":""station"",""railway"":""station"",""ref"":""KB07"",""station"":""train"",""train"":""yes"",""website"":""https://mrt.com.my/komuter/UKM.htm"",""wheelchair"":""yes"",""wikidata"":""Q6131646"",""wikipedia"":""en:UKM Komuter station""}"
node/1676562333,,,Hentian Bandar Utama,bus_stop,wheelchair_stop,yes,,,,,,,Point,POINT(101.613241 3.1514356),"{""@id"":""node/1676562333"",""addr:city"":""Petaling Jaya"",""addr:postcode"":""47800"",""addr:street"":""Central Park Avenue"",""air_conditioning"":""no"",""alt_name"":""1 Utama Bus Terminal"",""amenity"":""bus_station"",""baby_feeding"":""no"",""bus"":""yes"",""departures_board"":""timetable"",""highway"":""bus_stop"",""internet_access"":""no"",""layer"":""1"",""name"":""Hentian Bandar Utama"",""network"":""Rapid KL Bus;PJ City Bus"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ530"",""route_ref"":""506;801;802;PJ05;PJ06"",""wheelchair"":""yes""}"
node/1707840846,"Hutan Lipur Kanching, Temple Park",,"Hutan Lipur Kanching, Temple Park",bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6169555 3.2976136),"{""@id"":""node/1707840846"",""bench"":""yes"",""bin"":""no"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Hutan Lipur Kanching, Temple Park"",""name:en"":""Hutan Lipur Kanching, Temple Park"",""operator"":""Setara Jaya"",""public_transport"":""platform"",""ref"":""SL389"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/1769238060,"Station Salak Tinggi, Jalan Warisan Megah",,"Station Salak Tinggi, Jalan Warisan Megah",bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.7129406 2.8254894),"{""@id"":""node/1769238060"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Station Salak Tinggi, Jalan Warisan Megah"",""name:en"":""Station Salak Tinggi, Jalan Warisan Megah"",""operator"":""Smart Selangor"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/1813357978,,SR (A) Al-Jammiyah Jalan Ayer Panas,SR (A) Al-Jammiyah Jalan Ayer Panas,bus_stop,wheelchair_stop,yes,no,yes,,no,,,Point,POINT(101.7143219 3.1897246),"{""@id"":""node/1813357978"",""bench"":""no"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""SR (A) Al-Jammiyah Jalan Ayer Panas"",""name:ms"":""SR (A) Al-Jammiyah Jalan Ayer Panas"",""operator"":""Rapid KL"",""public_transport"":""platform"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/1813364899,,Pasar Ayer Panas,Pasar Ayer Panas,bus_stop,wheelchair_stop,yes,no,no,,no,,,Point,POINT(101.7184841 3.1890734),"{""@id"":""node/1813364899"",""bench"":""no"",""bin"":""no"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Pasar Ayer Panas"",""name:ms"":""Pasar Ayer Panas"",""operator"":""Rapid KL"",""public_transport"":""platform"",""shelter"":""no"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/1813387435,,SRJK (C) Chung Hwa,SRJK (C) Chung Hwa,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.7022722 3.1835198),"{""@id"":""node/1813387435"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""SRJK (C) Chung Hwa"",""name:ms"":""SRJK (C) Chung Hwa"",""operator"":""Rapid KL"",""public_transport"":""platform"",""ref"":""KL692"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/1814481042,,Taman Kaya,Taman Kaya,bus_stop,wheelchair_stop,yes,no,yes,,,,,Point,POINT(101.6805717 3.1914544),"{""@id"":""node/1814481042"",""addr:city"":""Kuala Lumpur"",""addr:postcode"":""51200"",""addr:street"":""Jalan Ipoh"",""bin"":""yes"",""bus"":""yes"",""highway"":""bus_stop"",""name"":""Taman Kaya"",""name:ms"":""Taman Kaya"",""operator"":""Selangor Omnibus, Setara Jaya, RapidKL"",""public_transport"":""platform"",""ref"":""KL602"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/1919647737,Kepong Sentral,,Kepong Sentral,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.6287881 3.207645),"{""@id"":""node/1919647737"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Kepong Sentral"",""name:en"":""Kepong Sentral"",""name:zh"":""甲洞中央"",""name:zh-Hans"":""甲洞中央"",""name:zh-Hant"":""甲洞中央"",""operator"":""Rapid KL;Causeway Link"",""public_transport"":""platform"",""ref"":""KL1758"",""route_ref"":""801"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
