location_id,display_name,lines,source_url,facilities_json,address,hours_summary,scraped_at
station:16_sierra,16 Sierra,MRT Putrajaya Line,https://mrt.com.my/ssp/16_Sierra_Station.htm,"[""Lift"", ""Escalator"", ""Surau"", ""Island Platform"", ""Ticket Vending Machine"", ""Public Toilets"", ""Customer Service Office""]",,,2026-05-08T15:50:27Z
station:abdullah_hukum,Abdullah Hukum,KTM Komuter Port Klang Line; LRT Kelana Jaya Line,https://mrt.com.my/lrt_kelana/Abdullah_Hukum.htm,"[""Side Platform"", ""Escalator & Lift"", ""Public Toilets"", ""Shops"", ""Bus Stop"", ""Ticket Vending Machine"", ""Customer Service Office"", ""Drinks Vending Machine"", ""KTM Komuter Interchange"", ""Dinks Vending Machine"", ""LRT Interchange""]","Jalan Bangsar, Kuala Lumpur","Station open: 06:00 am
Station closed: 12:00 am (Mon - Sat) / 11:20 pm (Sunday & PH)
Last Train to Gombak: 12:08 am (Mon - Sat) / 11:38 pm (Sunday & PH)
Last Train to Putra Height: 12:11 am (Mon - Sat) / 11:53 pm (Sunday & PH)",2026-05-08T15:50:27Z
station:alam_megah,Alam Megah,LRT Kelana Jaya Line,https://mrt.com.my/lrt_kelana/alam_megah.htm,"[""Island Platform"", ""Escalator & Lift"", ""Public Toilets"", ""Shops"", ""Bus Stop"", ""Ticket Vending Machine"", ""Customer Service Office"", ""Drinks Vending Machine"", ""Car Park""]","Jalan Beranang 27/14A, Taman Bunga Negara, Alam Megah, Shah Alam, Selangor","Station open: 06:00 am
Station closed: 11:20 pm (Mon - Sat) / 10:45 pm (Sunday & PH)
Last Train to Gombak: 11:25 pm (Mon - Sat) / 10:55 pm (Sunday & PH)
Last Train to Putra Height: 12:55 am (Mon - Sat) / 12:37 am (Sunday & PH)",2026-05-08T15:50:27Z
station:alam_sutera,Alam Sutera,LRT Sri Petaling Line,https://mrt.com.my/lrt_sri_petaling/Alam_Sutera.htm,"[""Lift"", ""Feeder bus"", ""Escalator"", ""Surau"", ""Parking"", ""Ticket Vending Machine"", ""Public Toilets"", ""Customer Service Office"", ""Side Platform""]","Alam Sutera, Bukit Jalil, Kuala Lumpur","Station open: 06:00 am
Station closed: 11:40 pm (Mon - Sat) / 11:40 pm (Sunday & PH)
Last Train to Ampang: Change Train in Chan Sow Lin LRT Station
Last Train to Putra Height: 12:33 am (Mon - Sat) / 12:33 am (Sunday & PH)
Last Train to Sentul Timur: 11:49 pm (Mon - Sat) / 11:13 pm (Sunday & PH)",2026-05-08T15:50:27Z
station:ampang,Ampang,LRT Ampang Line,https://mrt.com.my/lrt_ampang/Ampang.htm,"[""Lift"", ""Escalator"", ""Surau"", ""Shops"", ""Island Platform"", ""Ticket Vending Machine"", ""Public Toilets"", ""Customer Service Office"", ""Drinks Vending Machine"", ""Park n' Ride""]","Jalan Ampang, Ampang, Selangor","Station open: 06:00 am
Station closed: 11:30 pm (Mon - Sat) / 11:20 pm (Sunday & PH)
Last Train to Putra Height: 11:30 pm (Mon - Sat) / 11:30 pm (Sunday & PH)
Last Train to Sentul Timur: 11:30 pm (Mon - Sat) / 11:30 pm (Sunday & PH)",2026-05-08T15:50:27Z
station:ampang_park,Ampang Park,LRT Kelana Jaya Line; MRT Putrajaya Line,https://mrt.com.my/lrt_kelana/Ampang_Park.htm,"[""Lift"", ""Escalator"", ""Surau"", ""Interchange Station"", ""Ticket Vending Machine"", ""Public Toilets"", ""Customer Service Office"", ""Island Platform"", ""Escalator & Lift"", ""Shops"", ""Drinks Vending Machine"", ""MRT Interchange""]","Ampang Park, Jalan Ampang, Kuala Lumpur","Station open: 06:00 am
Station closed: 11:50 pm (Mon - Sat) / 11:30 pm (Sunday & PH)
Last Train to Gombak: 12:25 am (Mon - Sat) / 11:55 pm (Sunday & PH)
Last Train to Putra Height: 11:54 pm (Mon - Sat) / 11:36 pm (Sunday & PH)",2026-05-08T15:50:27Z
station:angkasapuri,Angkasapuri,KTM Komuter Port Klang Line,https://mrt.com.my/komuter/Angkasapuri.htm,"[""Side Platform"", ""Public Toilets"", ""Drinks Vending Machine"", ""Ticket Vending Machine"", ""Customer Service Office""]","Jalan Angkasapuri, Kuala Lumpur",,2026-05-08T15:50:27Z
station:ara_damansara,Ara Damansara,LRT Kelana Jaya Line,https://mrt.com.my/lrt_kelana/Ara_Damansara.htm,"[""Island Platform"", ""Escalator & Lift"", ""Public Toilets"", ""Shops"", ""Bus Stop"", ""Ticket Vending Machine"", ""Customer Service Office"", ""Drinks Vending Machine"", ""Car Park""]","Ara Damansara, Petaling Jaya, Selangor","Station open: 06:00 am
Station closed: 11:40 pm (Mon - Sat) / 11:05 pm (Sunday & PH)
Last Train to Gombak: 11:47 pm (Mon - Sat) / 11:18 pm (Sunday & PH)
Last Train to Putra Height: 12:32 am (Mon - Sat) / 12:14 am (Sunday & PH)",2026-05-08T15:50:27Z
station:asia_jaya,Asia Jaya,LRT Kelana Jaya Line,https://mrt.com.my/lrt_kelana/Asia_Jaya.htm,"[""Island Platform"", ""Escalator & Lift"", ""Public Toilets"", ""Shops"", ""Bus Stop"", ""Ticket Vending Machine"", ""Customer Service Office"", ""Drinks Vending Machine"", ""Car Park""]","Off Jalan Utara & Jalan 51A/223, Petaling Jaya, Selangor","Station open: 06:00 am
Station closed: 11:50 pm (Mon - Sat) / 11:15 pm (Sunday & PH)
Last Train to Gombak: 11:58 pm (Mon - Sat) / 11:29 pm (Sunday & PH)
Last Train to Putra Height: 12:21 am (Mon - Sat) / 12:02 am (Sunday & PH)",2026-05-08T15:50:27Z
station:awan_besar,Awan Besar,LRT Sri Petaling Line,https://mrt.com.my/lrt_sri_petaling/Awan_Besar.htm,"[""Feeder bus"", ""Surau"", ""Parking"", ""Escalator & Lift"", ""Ticket Vending Machine"", ""Public Toilets"", ""Customer Service Office"", ""Island Platform""]","Awan Besar, Bukit Jalil, Kuala Lumpur","Station open: 06:00 am
Station closed: 11:40 pm (Mon - Sat) / 11:40 pm (Sunday & PH)
Last Train to Ampang: Change Train in Chan Sow Lin LRT Station
Last Train to Putra Height: 12:27 am (Mon - Sat) / 12:27 am (Sunday & PH)
Last Train to Sentul Timur: 11:54 pm (Mon - Sat) / 11:19 pm (Sunday & PH)",2026-05-08T15:50:27Z
