,date,station_code,station_name,predicted_daily_inflow,predicted_daily_outflow,seat_probability_percent
0,2026-05-01,AG01,Sentul Timur,2725,2479,100.0
1,2026-05-01,AG02,Sentul,1649,1637,100.0
2,2026-05-01,AG03,Titiwangsa,2528,2214,100.0
3,2026-05-01,AG04,PWTC,7356,6394,100.0
4,2026-05-01,AG05,Sultan Ismail,618,566,100.0
5,2026-05-01,AG06,Bandaraya,4042,3673,100.0
6,2026-05-01,AG07,Masjid Jamek,11425,9758,100.0
7,2026-05-01,AG08,Plaza Rakyat,2349,1988,100.0
8,2026-05-01,AG09,Hang Tuah,3209,3016,100.0
9,2026-05-01,AG10,Pudu,4773,4248,100.0
10,2026-05-01,AG11,Chan Sow Lin,1024,906,100.0
11,2026-05-01,AG12,Miharja,1136,1086,100.0
12,2026-05-01,AG13,Maluri,2895,2714,100.0
13,2026-05-01,AG14,Pandan Jaya,2327,2145,100.0
14,2026-05-01,AG15,Pandan Indah,1651,1591,100.0
15,2026-05-01,AG16,Cempaka,2547,2229,100.0
16,2026-05-01,AG17,Cahaya,1846,1796,100.0
17,2026-05-01,AG18,Ampang,3103,2687,100.0
18,2026-05-01,KG04,Kwasa Damansara,998,738,100.0
19,2026-05-01,KG05,Kwasa Sentral,2673,2539,100.0
20,2026-05-01,KG06,Kota Damansara,2743,2663,100.0
21,2026-05-01,KG07,Surian,4741,4308,100.0
22,2026-05-01,KG08,Mutiara Damansara,3711,3391,100.0
23,2026-05-01,KG09,Bandar Utama,8543,6965,100.0
24,2026-05-01,KG10,TTDI,2754,2534,100.0
25,2026-05-01,KG12,Phileo Damansara,1794,1753,100.0
26,2026-05-01,KG13,Pusat Bandar Damansara,1732,1626,100.0
27,2026-05-01,KG14,Semantan,1805,1676,100.0
28,2026-05-01,KG15,Muzium Negara,6562,6250,100.0
29,2026-05-01,KG16,Pasar Seni,6937,7278,100.0
30,2026-05-01,KG17,Merdeka,1041,988,100.0
31,2026-05-01,KG18,Bukit Bintang,30684,26122,4.5
32,2026-05-01,KG20,Tun Razak Exchange,22757,15294,6.1
33,2026-05-01,KG21,Cochrane,11430,9302,66.1
34,2026-05-01,KG22,Maluri,11738,10923,62.9
35,2026-05-01,KG23,Taman Pertama,2124,2058,100.0
36,2026-05-01,KG24,Taman Midah,2400,2215,100.0
37,2026-05-01,KG25,Taman Mutiara,5820,5418,100.0
38,2026-05-01,KG26,Taman Connaught,3794,3477,100.0
39,2026-05-01,KG27,Taman Suntex,2710,2611,100.0
40,2026-05-01,KG28,Sri Raya,1467,1428,100.0
